Date,Price,Open,High,Low,Vol.,Change %
25-Aug-18,"6,734.80","6,680.60","6,783.40","6,655.30",3.59M,0.81%
24-Aug-18,"6,680.40","6,521.20","6,721.20","6,472.80",3.70M,2.44%
23-Aug-18,"6,521.20","6,359.90","6,550.20","6,359.20",2.76M,2.54%
22-Aug-18,"6,359.60","6,482.20","6,840.80","6,304.80",3.63M,-1.89%
21-Aug-18,"6,482.20","6,268.10","6,484.10","6,257.40",1.46M,3.41%
20-Aug-18,"6,268.10","6,474.20","6,516.40","6,255.90",3.10M,-3.29%
19-Aug-18,"6,481.50","6,379.10","6,534.80","6,316.00",2.71M,1.61%
18-Aug-18,"6,379.10","6,581.80","6,626.40","6,295.50",3.15M,-3.08%
17-Aug-18,"6,581.70","6,306.70","6,581.70","6,291.80",3.20M,4.36%
16-Aug-18,"6,306.70","6,256.90","6,470.90","6,249.80",3.50M,0.80%
15-Aug-18,"6,256.90","6,190.20","6,592.80","6,177.90",3.74M,1.08%
14-Aug-18,"6,190.20","6,255.30","6,255.30","5,898.30",3.66M,-1.04%
13-Aug-18,"6,255.30","6,313.00","6,524.10","6,159.60",234.09K,-0.91%
12-Aug-18,"6,313.00","6,232.10","6,453.00","6,169.80",216.33K,1.31%
11-Aug-18,"6,231.60","6,152.80","6,469.60","6,009.80",247.34K,1.29%
10-Aug-18,"6,152.30","6,539.50","6,570.20","6,043.40",298.82K,-5.91%
09-Aug-18,"6,538.80","6,283.70","6,620.20","6,197.00",237.66K,4.06%
08-Aug-18,"6,283.60","6,725.20","6,725.20","6,138.80",311.54K,-6.56%
07-Aug-18,"6,724.90","6,943.60","7,149.70","6,689.90",232.48K,-3.15%
06-Aug-18,"6,943.60","7,027.80","7,143.60","6,852.50",168.87K,-1.19%
05-Aug-18,"7,027.10","7,014.00","7,087.60","6,887.90",177.64K,0.18%
04-Aug-18,"7,014.30","7,418.90","7,484.20","6,949.70",222.57K,-5.46%
03-Aug-18,"7,419.00","7,535.60","7,535.60","7,293.50",226.46K,-1.55%
02-Aug-18,"7,535.60","7,606.40","7,701.40","7,470.60",216.34K,-0.93%
01-Aug-18,"7,606.40","7,728.50","7,753.20","7,449.20",237.69K,-1.59%
31-Jul-18,"7,729.40","8,176.40","8,176.50","7,649.80",266.94K,-5.48%
30-Jul-18,"8,177.10","8,214.70","8,262.00","7,874.40",242.21K,-0.47%
29-Jul-18,"8,215.60","8,231.50","8,275.40","8,113.30",155.24K,-0.22%
28-Jul-18,"8,234.10","8,186.80","8,234.10","8,077.40",147.14K,0.57%
27-Jul-18,"8,187.40","7,936.90","8,273.80","7,808.30",243.22K,3.15%
26-Jul-18,"7,937.00","8,173.90","8,304.30","7,861.00",235.45K,-2.90%
25-Jul-18,"8,173.70","8,404.90","8,484.60","8,062.10",269.23K,-2.78%
24-Jul-18,"8,407.00","7,723.10","8,479.80","7,701.90",345.32K,8.86%
23-Jul-18,"7,723.00","7,412.40","7,809.60","7,379.20",272.15K,4.19%
22-Jul-18,"7,412.30","7,409.00","7,575.30","7,343.70",204.16K,0.05%
21-Jul-18,"7,408.70","7,339.30","7,460.80","7,223.50",160.77K,0.95%
20-Jul-18,"7,339.40","7,477.60","7,683.60","7,292.00",258.85K,-1.85%
19-Jul-18,"7,477.50","7,383.90","7,558.40","7,288.80",247.25K,1.27%
18-Jul-18,"7,383.60","7,321.60","7,581.20","7,249.30",333.32K,0.84%
17-Jul-18,"7,322.00","6,729.80","7,453.20","6,666.00",337.75K,8.80%
16-Jul-18,"6,729.90","6,362.80","6,749.20","6,344.10",312.12K,5.77%
15-Jul-18,"6,362.90","6,254.80","6,399.60","6,238.50",180.67K,1.73%
14-Jul-18,"6,254.80","6,229.50","6,313.50","6,192.50",243.71K,0.40%
13-Jul-18,"6,230.20","6,250.80","6,333.80","6,144.50",233.22K,-0.33%
12-Jul-18,"6,250.60","6,389.10","6,389.40","6,088.80",289.24K,-2.17%
11-Jul-18,"6,389.10","6,307.20","6,409.70","6,296.60",243.82K,1.30%
10-Jul-18,"6,307.20","6,668.40","6,686.80","6,291.50",315.27K,-5.40%
09-Jul-18,"6,667.10","6,715.10","6,793.80","6,637.70",289.48K,-0.71%
08-Jul-18,"6,714.80","6,765.40","6,784.00","6,694.30",267.60K,-0.75%
07-Jul-18,"6,765.50","6,617.70","6,805.90","6,531.10",114.57K,2.23%
06-Jul-18,"6,617.70","6,546.50","6,638.20","6,458.30",132.69K,1.09%
05-Jul-18,"6,546.50","6,598.00","6,693.60","6,466.10",166.18K,-0.79%
04-Jul-18,"6,598.40","6,513.80","6,774.50","6,442.30",143.04K,1.30%
03-Jul-18,"6,513.50","6,618.60","6,676.60","6,513.50",150.19K,-1.60%
02-Jul-18,"6,619.50","6,349.10","6,680.00","6,275.00",179.92K,3.97%
01-Jul-18,"6,366.80","6,398.50","6,445.10","6,284.70",128.51K,-0.50%
30-Jun-18,"6,398.90","6,213.40","6,498.50","6,204.00",189.33K,2.99%
29-Jun-18,"6,213.30","5,883.20","6,284.90","5,818.50",206.96K,5.61%
28-Jun-18,"5,883.50","6,154.90","6,178.40","5,854.00",156.05K,-4.41%
27-Jun-18,"6,154.90","6,081.10","6,187.30","6,025.40",133.42K,1.20%
26-Jun-18,"6,082.10","6,256.90","6,267.70","6,060.00",176.66K,-2.79%
25-Jun-18,"6,256.60","6,155.10","6,331.20","6,101.70",210.69K,1.66%
24-Jun-18,"6,154.60","6,167.90","6,248.30","5,785.30",240.60K,-0.21%
23-Jun-18,"6,167.30","6,055.20","6,259.00","6,032.80",142.90K,1.84%
22-Jun-18,"6,055.70","6,728.20","6,739.70","5,955.00",278.22K,-9.99%
21-Jun-18,"6,728.00","6,765.80","6,797.50","6,695.10",99.29K,-0.55%
20-Jun-18,"6,765.40","6,752.30","6,812.70","6,575.10",121.48K,0.19%
19-Jun-18,"6,752.40","6,719.80","6,839.50","6,681.50",120.54K,0.49%
18-Jun-18,"6,719.80","6,460.50","6,794.50","6,410.90",135.70K,4.02%
17-Jun-18,"6,460.30","6,505.80","6,593.00","6,452.10",90.67K,-0.70%
16-Jun-18,"6,505.80","6,410.00","6,564.20","6,358.00",108.79K,1.49%
15-Jun-18,"6,410.30","6,647.30","6,655.80","6,395.70",143.53K,-3.56%
14-Jun-18,"6,647.10","6,312.30","6,711.50","6,283.60",201.54K,5.30%
13-Jun-18,"6,312.30","6,558.50","6,624.60","6,129.10",237.48K,-3.75%
12-Jun-18,"6,558.20","6,885.90","6,887.20","6,476.00",178.26K,-4.76%
11-Jun-18,"6,885.90","6,775.20","6,910.80","6,657.20",174.88K,1.64%
10-Jun-18,"6,775.10","7,515.80","7,516.30","6,668.10",275.69K,-9.85%
09-Jun-18,"7,515.80","7,622.10","7,689.00","7,493.30",97.56K,-1.40%
08-Jun-18,"7,622.10","7,697.90","7,710.50","7,556.90",112.88K,-0.98%
07-Jun-18,"7,697.80","7,661.00","7,754.70","7,657.70",124.00K,0.48%
06-Jun-18,"7,661.00","7,631.50","7,699.10","7,504.40",130.66K,0.39%
05-Jun-18,"7,631.50","7,507.40","7,672.60","7,391.00",145.23K,1.69%
04-Jun-18,"7,504.30","7,729.30","7,759.90","7,468.40",141.01K,-2.91%
03-Jun-18,"7,729.30","7,646.60","7,775.00","7,611.30",116.68K,1.08%
02-Jun-18,"7,646.60","7,530.80","7,694.50","7,467.90",121.18K,1.54%
01-Jun-18,"7,530.80","7,502.50","7,610.40","7,375.80",135.92K,0.38%
31-May-18,"7,502.60","7,400.80","7,611.90","7,355.00",144.52K,1.39%
30-May-18,"7,400.10","7,469.20","7,565.20","7,306.80",140.37K,-0.91%
29-May-18,"7,467.70","7,119.30","7,533.00","7,069.80",186.97K,4.89%
28-May-18,"7,119.30","7,367.30","7,446.90","7,090.60",152.29K,-3.36%
27-May-18,"7,366.70","7,361.90","7,411.80","7,267.50",103.29K,0.07%
26-May-18,"7,361.30","7,478.50","7,619.30","7,331.50",103.07K,-1.56%
25-May-18,"7,477.70","7,593.90","7,653.40","7,355.60",161.82K,-1.52%
24-May-18,"7,592.90","7,512.30","7,736.60","7,293.40",211.11K,1.07%
23-May-18,"7,512.30","8,005.70","8,047.40","7,467.60",237.60K,-6.17%
22-May-18,"8,006.00","8,403.80","8,414.50","7,979.30",137.51K,-4.73%
21-May-18,"8,403.30","8,529.50","8,550.60","8,375.50",115.52K,-1.47%
20-May-18,"8,529.00","8,243.90","8,580.40","8,184.70",113.76K,3.44%
19-May-18,"8,245.10","8,244.70","8,389.10","8,153.20",107.89K,-0.01%
18-May-18,"8,245.70","8,064.40","8,273.60","7,939.80",150.32K,2.27%
17-May-18,"8,063.00","8,344.60","8,458.70","8,022.30",154.36K,-3.37%
16-May-18,"8,344.40","8,477.00","8,496.40","8,120.10",188.03K,-1.56%
